,0,1,2,3,4,5,6,7,8,9,10,11
0,, , , , ,CONTAINER RAIL MOVES HISTORY, ,PIER CONTAINER HISTORY, , ,TEU HISTORY, 
1,0.0,0,0,PERIOD,INTERMODAL,CHS RAIL MOVES RATIO,LOADED,EMPTY,TOTAL,LOADED,EMPTY,TOTAL
2,1.0,1,1,,DRAYS,,EXPORT IMPORT,EXPORT IMPORT,,EXPORT IMPORT,EXPORT IMPORT,
96,95.0,95,95,"April, 2005",0,0 0.00%,"3 4,323 4 5,421","1 4,308 4 ,202","9 8,254","5 9,697 8 0,140","2 5,366 7 ,185","1 72,388"
97,96.0,96,96,"May, 2005",0,0 0.00%,"3 5,284 4 6,557","1 9,207 2 ,761","1 03,809","6 1,783 8 1,708","3 3,478 5 ,246","1 82,214"
98,97.0,97,97,"June, 2005",0,0 0.00%,"3 1,691 4 0,068","1 7,157 2 ,817","9 1,733","5 5,605 7 0,036","2 9,408 4 ,736","1 59,784"
99,98.0,98,98,"July, 2005",0,0 0.00%,"3 2,411 4 5,377","2 0,007 2 ,177","9 9,972","5 6,911 7 9,870","3 5,469 4 ,111","1 76,361"
100,99.0,99,99,"August, 2005",0,0 0.00%,"3 1,565 4 4,721","1 5,410 3 ,532","9 5,228","5 4,920 7 7,988","2 6,935 6 ,554","1 66,396"
101,100.0,100,100,"September, 2005",0,0 0.00%,"2 9,713 3 9,533","1 8,030 1 ,803","8 9,079","5 2,050 6 9,599","3 0,707 3 ,434","1 55,790"
102,101.0,101,101,"October, 2005",0,0 0.00%,"3 1,491 4 3,412","1 8,521 2 ,511","9 5,935","5 5,838 7 6,536","3 2,148 4 ,514","1 69,034"
103,102.0,102,102,"November, 2005",0,0 0.00%,"3 0,020 4 3,343","1 7,758 2 ,426","9 3,547","5 3,250 7 5,257","3 0,443 4 ,171","1 63,121"
104,103.0,103,103,"December, 2005",0,0 0.00%,"3 0,505 4 1,136","1 7,467 2 ,271","9 1,379","5 3,907 7 1,670","2 9,531 3 ,758","1 58,865"
105,104.0,104,104,"January, 2006",0,0 0.00%,"3 2,118 4 2,833","1 7,076 2 ,901","9 4,928","5 7,004 7 5,312","2 8,701 5 ,077","1 66,094"
106,105.0,105,105,"February, 2006",0,0 0.00%,"2 8,352 3 9,721","1 5,362 3 ,384","8 6,819","4 9,879 6 9,972","2 6,349 5 ,393","1 51,593"
