,rank,Port,Short tons 1994,port,Short tons 1993,port,Short tons 1992,port,Short tons 1991
77,76.0,Georgetown(SC),706,Ponce (PR),595,San Diego (CA),638,Astoria (OR),660
78,77.0,Orange (TX),686,Orange (TX),579,Huron (OH),618,Marquette (MI),634
79,78.0,Ponce (PR),678,Waukegan (IL),577,Oswego (NY),582,Waukegan (IL),598
80,79.0,Waukegan (IL),604,Wrangell (AK),569,Kelleys Island (OH),564,Kodiak (AK),571
81,80.0,New Bedford (MA),601,Kelleys Island (OH),564,Orange (TX),553,Port Townsend (WA),546
82,81.0,Fernandina (FL),588,Huron (OH),529,Waukegan (IL),520,St. Thomas (VI),526
83,82.0,Kodiak (AK),569,Kodiak (AK),525,Kodiak (AK),490,Huron (OH),524
0,,St. Thomas (VI),562,Fernandina (FL),520,New Bedford (MA),484,Marysville (MI),518
1,0.0,Wrangell (AK),547,Oswego (NY),506,Hueneme (CA),474,Redwood City (CA),507
2,1.0,Kelleys Island (OH),521,New Bedford (MA),503,Marquette (MI),454,Kelleys Island (OH),503
0,,Oswego (NY),474,St. Thomas (VI),491,St. Thomas (VI).1,447,New Bedford (MA),503
1,0.0,Mayaguez (PR),434,Mayaguez (PR),478,Fernandina (FL),379,Hueneme (CA),416
2,1.0,Port Townsend (WA),402,Homer (AK),472,Mayaguez (PR),366,Mayaguez (PR),410
3,2.0,Homer (AK),377,Astoria (OR),412,Port Townsend (WA),325,Fernandina (FL),367
4,3.0,Fajardo (PR),271,Fajardo (PR),310,Homer (AK),287,Fajardo (PR),323
5,4.0,Juneau (AK),222,Port Townsend (WA),201,Fajardo (PR),283,Juneau (AK),179
6,5.0,Skagway (AK),128,Juneau (AK),193,Juneau (AK),163,Homer (AK),82
7,6.0,Sitka (AK),-,Sitka (AK),-,Sitka (AK),-,Sitka (AK),-
8,7.0,Silver Bay (MN),,Silver Bay (MN),,Silver Bay (MN),,Silver Bay (MN),
9,8.0,Paulsboro (NJ),,Marcus Hook (PA),,Marcus Hook (PA),,Buffington (IN),
10,9.0,Marblehead (OH),,Gary (IN),,Port Dolmite (MI),,Paulsboro (NJ),
11,10.0,Buffington (IN),,Paulsboro (NJ),,Marblehead (OH),,Gary (IN),
12,11.0,Gary (IN),,Buffington (IN),,Gary (IN),,Marblehead (OH),
13,12.0,Port Inland (MI),,Port Inland (MI),,Port Inland (MI),,Port Dolmite (MI),
