,Rank,Port/State,Foreign Trade | TONS,Imports,Port/State,Export Tons,Port/state,Total foreign trade | Tons,10,Port/state,Tons,Port/state,Tons
2,71,"Brownsville, TX","4,674,329",71.0,"Morehead City, NC","556,543","Redwood City, CA","351,286",71.0,"Port Hueneme, CA","1,301,369","Morgan City, La","2,127,331"
3,72,"Bridgeport, CT","4,576,963",72.0,"Chester, PA","537,273","Everett, WA","325,744",72.0,"Searsport, ME","1,300,623","Greenville, MS","2,114,517"
4,73,"Wilmington, DE","4,482,223",73.0,"Duluth/Superior, MN/WI","509,088","Port Inland, MI","315,182",73.0,"Kivilina, AK","1,275,383","Port Dolomite, MI","2,043,811"
5,74,"St. Paul, MN","4,148,342",74.0,"Honolulu, HI","501,943","Buffalo, NY","296,957",74.0,"Panama City, FL","1,203,608","Kahului, Maui, HI","2,041,920"
6,75,"Nikishka, AK","4,065,074",75.0,"Redwood City, CA","501,107","Honolulu, HI","290,187",75.0,"Coos Bay, OR","1,081,156","Nashville, TN","1,997,948"
7,76,"Burns  Harbor, IN","4,026,259",76.0,"Panama City, FL","495,522","Providence, RI","289,393",76.0,"San Diego, CA","956,637","Port Jefferson, NY","1,954,608"
8,77,"Portsmouth, NH","3,582,750",77.0,"Albany, NY","470,069","Port Dolomite, MI","287,522",77.0,"Grays Harbor, WA","916,474","Victoria, TX","1,951,820"
9,78,"Silver Bay, MN","3,551,684",78.0,"Green Bay, WI","451,104","Marcus Hook, PA","279,802",78.0,"Seward, AK","886,374","Savannah, GA","1,950,236"
10,79,"Port Inland, MI","3,506,135",79.0,"Buffington, IN","386,126","New Castle, DE","262,423",79.0,"Albany, NY","876,020","Kansas City, MO","1,934,071"
11,80,"Ashtabula, OH","3,448,375",80.0,"Gary, IN","356,620","Stoneport, MI","243,684",80.0,"Redwood City, CA","852,393","Fall River, MA","1,929,273"
12,81,"Fall River, MA","3,423,340",81.0,"Palm Beach, FL","353,570","Hopewell, VA","242,758",81.0,"Honolulu, HI","792,130","Anchorage, AK","1,888,309"
13,82,"Milwaukee, WI","3,381,200",82.0,"Kalama, WA","283,096","Barbers Point, Oahu, HI","240,860",82.0,"Chester, PA","757,481","Alpena, MI","1,862,976"
14,83,"Vicksburg, MS","3,315,676",83.0,"Conneaut, OH","270,204","Drummond Island, MI","232,573",83.0,"Sandusky, OH","749,883","Wilmington, NC","1,836,703"
15,84,"Morehead City, NC","3,278,457",84.0,"Anchorage, AK","258,064","Fairport Harbor, OH","228,187",84.0,"Calcite, MI","748,847","Tulsa, Port of Catoosa, OK","1,761,841"
16,85,"Biloxi, MS","3,233,250",85.0,"Muskegon, MI","252,703","Chester, PA","220,208",85.0,"Salem, MA","609,330","Guntersville, AL","1,746,241"
17,86,"Conneaut, OH","3,121,791",86.0,"Grand Haven, MI","233,224","Brownsville, TX","215,529",86.0,"San Francisco, CA","588,531","Vancouver, WA","1,691,264"
18,87,"Port Manatee, FL","2,897,599",87.0,"Indiana Harbor, IN","212,031","Milwaukee, WI","183,334",87.0,"Unalaska Island, AK","534,445","Milwaukee, WI","1,682,358"
19,88,"Kivilina, AK","2,677,790",88.0,"Alpena, MI","180,894","Cleveland, OH","164,001",88.0,"Silver Bay, MN","485,722","Green Bay, WI","1,652,622"
20,89,"Panama City, FL","2,461,497",89.0,"Burns Harbor, IN","172,868","Alpena, MI","155,227",89.0,"Marblehead, OH","472,452","Marblehead, OH","1,619,432"
21,90,"Palm Beach, FL","2,341,642",90.0,"Buffalo, NY","158,396","Portsmouth, NH","145,980",90.0,"Buffalo, NY","455,353","Morehead City, NC","1,617,125"
22,91,"Port Dolomite, MI","2,331,333",91.0,"Everett, WA","121,271","Port Angeles, WA","140,409",91.0,"Olympia, WA","452,548","Chattanooga, TN","1,601,311"
23,92,"Port Canaveral, FL","2,300,926",92.0,"Marquette, MI","115,875","Port Canaveral, FL","122,656",92.0,"Green Bay, WI","451,104","Helena, AR","1,566,175"
24,93,"Ponce, PR","2,213,836",93.0,"Pensacola, FL","105,630","Indiana Harbor, IN","82,432",93.0,"Everett, WA","447,015","Ashtabula, OH","1,559,271"
25,94,"Alpena, MI","2,199,097",94.0,"Unalaska Island, AK","102,435","Port Hueneme, CA","75,795",94.0,"Gary, IN","389,680","Brownsville, TX","1,530,570"
26,95,"Anchorage, AK","2,192,610",95.0,"Kahului, Maui, HI","97,538","Burns  Harbor, IN","72,181",95.0,"Buffington, IN","386,126","Muskegon, MI","1,484,158"
27,96,"Kahului, Maui, HI","2,139,458",96.0,"Olympia, WA","88,656","Anchorage, AK","46,237",96.0,"Alpena, MI","336,121","Portland, ME","1,467,705"
28,97,"Morgan City, La","2,128,758",97.0,"Richmond, VA","68,034","Richmond, VA","39,449",97.0,"Port Inland, MI","315,182","Monroe, MI","1,423,697"
29,98,"Greenville, MS","2,114,517",98.0,"Marblehead, OH","59,955","Gary, IN","33,060",98.0,"Anchorage, AK","304,301","Kivilina, AK","1,402,407"
30,99,"Green Bay, WI","2,103,726",99.0,"Grays Harbor, WA","56,765","San Francisco, CA","19,739",99.0,"Indiana Harbor, IN","294,463",Port Lavaca (TX),"1,390,861"
31,100,"Brunswick, GA","2,093,808",100.0,"Hopewell, VA","49,451","Escanaba, MI","17,995",100.0,"Hopewell, VA","292,209","Richmond, VA","1,321,999"
32,101,"Marblehead, OH","2,091,884",101.0,"Escanaba, MI","35,888","Pensacola, FL","16,886",101.0,"Port Dolomite, MI","287,522","Barbers Point, Oahu, HI","1,304,611"
33,102,"Nashville, TN","1,997,948",102.0,"Coos Bay, OR","34,973","Portland, ME","16,006",102.0,"Conneaut, OH","278,679","Panama City, FL","1,257,889"
34,103,"Port Jefferson, NY","1,954,608",103.0,"Port Angeles, WA","34,032","San Diego, CA","10,865",103.0,"Fairport Harbor, OH","260,361","Wilmington, DE","1,221,247"
35,104,"Victoria, TX","1,951,820",104.0,"Fairport Harbor, OH","32,174","Conneaut, OH","8,475",104.0,"Muskegon, MI","252,703","Longview, WA","1,188,699"
36,105,"Kansas City, MO","1,934,071",105.0,"Monroe, MI","29,353","Hilo, HI","4,490",105.0,"Burns  Harbor, IN","245,049","Kawaihae Harbor, HI","1,112,310"
37,106,"Penn Manor, PA","1,923,462",106.0,"Silver Bay, MN","24,002","Biloxi, MS",0,106.0,"Stoneport, MI","243,684","Hilo, HI","1,076,001"
38,107,"Gulfport, MS","1,867,820",107.0,"Sandusky, OH","17,778","Bridgeport, CT",0,107.0,"Grand Haven, MI","233,224","Palm Beach, FL","997,779"
39,108,"Tulsa, OK","1,761,841",108.0,"Valdez, AK","7,659","Buffington, IN",0,108.0,"Drummond Island, MI","232,573","Nawiliwili, Kauai, HI","948,399"
40,109,"Guntersville, AL","1,746,241",109.0,"Hilo, HI","7,636","Chattanooga, TN",0,109.0,"Port Angeles, WA","174,441","Buffington, IN","915,048"
41,110,"Muskegon, MI","1,736,861",110.0,"Nawiliwili, Kauai, HI","2,668","Cincinnati, OH",0,110.0,"Pensacola, FL","122,516","Buffalo, NY","911,379"
42,111,"Sandusky, OH","1,653,542",111.0,"Morgan City, La","1,427","Elvis Stahr Harbor, KY",0,111.0,"Marquette, MI","115,875","Sandusky, OH","903,659"
43,112,"Stockton, CA","1,632,931",112.0,"Seward, AK",16,"Fall River, MA",0,112.0,"Richmond, VA","107,483","Rosedale, MS","885,918"
44,113,"Chattanooga, TN","1,601,311",113.0,"Biloxi, MS",0,"Grand Haven, MI",0,113.0,"Kahului, Maui, HI","97,538","Fairport Harbor, OH","861,270"
45,114,"Helena, AR","1,566,175",114.0,"Calcite, MI",0,"Green Bay, WI",0,114.0,"Escanaba, MI","53,883","Drummond Island, MI","807,869"
46,115,"Searsport, ME","1,490,418",115.0,"Chattanooga, TN",0,"Greenville, MS",0,115.0,"Monroe, MI","29,353",Southeast Missouri Port,"758,017"
47,116,"Monroe, MI","1,453,050",116.0,"Cincinnati, OH",0,"Guntersville, AL",0,116.0,"Hilo, HI","12,126","Sabine Pass, TX","753,338"
48,117,"Richmond, VA","1,429,482",117.0,"Drummond Island, MI",0,"Helena, AR",0,117.0,"Valdez, AK","7,659","Stamford, CT","693,342"
49,118,"Port Hueneme, CA","1,371,790",118.0,"Elvis Stahr Harbor, KY",0,"Hempstead, NY",0,118.0,"Nawiliwili, Kauai, HI","2,668","Hempstead, NY","657,827"
50,119,"Buffalo, NY","1,366,732",119.0,"Greenville, MS",0,Huntington - Tristate,0,119.0,"Morgan City, La","1,427","Pensacola, FL","647,664"
51,120,"Coos Bay, OR","1,328,340",120.0,"Guntersville, AL",0,"Kahului, Maui, HI",0,120.0,"Biloxi, MS",0,"Grand Haven, MI","634,676"
52,121,"Buffington, IN","1,301,174",121.0,"Helena, AR",0,"Kansas City, MO",0,121.0,"Chattanooga, TN",0,"Lake Providence, LA","634,676"
53,122,"Grays Harbor, WA","1,162,441",122.0,"Hempstead, NY",0,"Kawaihae Harbor, HI",0,122.0,"Cincinnati, OH",0,"Elvis Stahr Harbor, KY","633,659"
54,123,"San Diego, CA","1,137,054",123.0,Huntington - Tristate,0,"Lake Providence, LA",0,123.0,"Elvis Stahr Harbor, KY",0,"Orange, TX","622,733"
55,124,"Fairport Harbor, OH","1,121,631",124.0,"Kansas City, MO",0,"Louisville, KY",0,124.0,"Greenville, MS",0,"Kalama, WA","609,812"
56,125,"Kawaihae Harbor, HI","1,112,310",125.0,"Kawaihae Harbor, HI",0,"Marquette, MI",0,125.0,"Guntersville, AL",0,"Hopewell, VA","596,452"
57,126,"Hilo, HI","1,088,127",126.0,"Kivilina, AK",0,"Memphis, TN",0,126.0,"Helena, AR",0,"Everett, WA","558,805"
58,127,"Drummond Island, MI","1,040,442",127.0,"Lake Providence, LA",0,"Monroe, MI",0,127.0,"Hempstead, NY",0,"Olympia, WA","542,211"
59,128,"Everett, WA","1,005,820",128.0,"Louisville, KY",0,"Morgan City, La, Port of",0,128.0,Huntington - Tristate,0,"Miami, FL","519,139"
60,129,"Olympia, WA","994,759",129.0,"Memphis, TN",0,"Mount Vernon, IN",0,129.0,"Kansas City, MO",0,"Portsmouth, NH","513,112"
61,130,"Nawiliwili, Kauai, HI","951,067",130.0,"Mount Vernon, IN",0,"Muskegon, MI",0,130.0,"Kawaihae Harbor, HI",0,"Marquette, MI","509,748"
62,131,"Unalaska Island, AK","911,023",131.0,"Nashville, TN",0,"Nashville, TN",0,131.0,"Lake Providence, LA",0,"Port Angeles, WA","474,151"
63,132,"Redwood City, CA","907,220",132.0,"Orange, TX",0,"Nawiliwili, Kauai, HI",0,132.0,"Louisville, KY",0,"Unalaska Island, AK","376,578"
64,133,"Seward, AK","903,662",133.0,"Pittsburgh, PA",0,"Orange, TX",0,133.0,"Memphis, TN",0,"Port Canaveral, FL","344,152"
65,134,"Hopewell, VA","888,661",134.0,"Port Dolomite, MI",0,"Pittsburgh, PA",0,134.0,"Mount Vernon, IN",0,"Port Manatee, FL","309,730"
66,135,"San Francisco, CA","888,216",135.0,"Port Inland, MI",0,"Port Jefferson, NY",0,135.0,"Nashville, TN",0,"San Francisco, CA","299,685"
67,136,"Rosedale, MS","885,918",136.0,"Port Jefferson, NY",0,"Rosedale, MS",0,136.0,"Orange, TX",0,"Coos Bay, OR","247,184"
68,137,"Chester, PA","881,164",137.0,"Presque Isle, MI",0,"Sabine Pass, TX",0,137.0,"Pittsburgh, PA",0,"Grays Harbor, WA","245,967"
69,138,"Grand Haven, MI","867,900",138.0,"Rosedale, MS",0,"Salem, MA",0,138.0,"Port Jefferson, NY",0,"Searsport, ME","189,795"
70,139,"Pensacola, FL","770,180",139.0,"Sabine Pass, TX",0,"Searsport, ME",0,139.0,"Rosedale, MS",0,"San Diego, CA","180,417"
71,140,"Southeast Missouri Port, MO","758,017",140.0,Southeast Missouri Port,0,"Southeast Missouri Port, MO",0,140.0,"Sabine Pass, TX",0,"Chester, PA","123,683"
72,141,"Sabine Pass, TX","753,338",141.0,"St. Clair, MI",0,"St. Clair, MI",0,141.0,Southeast Missouri Port,0,"Penn Manor, PA","114,906"
73,142,"Stamford, CT","693,342",142.0,"St. Louis, MO and IL",0,"St. Louis, MO and IL",0,142.0,"St. Clair, MI",0,"Port Hueneme, CA","70,421"
74,143,"Hempstead, NY","657,827",143.0,"St. Paul, MN",0,"St. Paul, MN",0,143.0,"St. Louis, MO and IL",0,"Redwood City, CA","54,827"
75,144,"Port Angeles, WA","648,592",144.0,"Stamford, CT",0,"Stamford, CT",0,144.0,"St. Paul, MN",0,"Stockton, CA","33,627"
76,145,"Lake Providence, LA","634,676",145.0,"Stoneport, MI",0,"Tulsa,  OK",0,145.0,"Stamford, CT",0,"Brunswick, GA","27,616"
77,146,"Elvis Stahr Harbor, KY","633,659",146.0,"Tulsa,  OK",0,"Two Harbors, MN",0,146.0,"Tulsa, Port of Catoosa, OK",0,"Gulfport, MS","24,353"
78,147,"Salem, MA","628,928",147.0,"Two Harbors, MN",0,"Valdez, AK",0,147.0,"Two Harbors, MN",0,"Salem, MA","19,598"
79,148,"Marquette, MI","625,623",148.0,"Vicksburg, MS",0,"Vicksburg, MS",0,148.0,"Vicksburg, MS",0,"Seward, AK","17,288"
80,149,"Orange, TX","622,733",149.0,"Victoria, TX",0,"Victoria, TX",0,149.0,"Victoria, TX",0,"Ponce, PR","3,517"
