,0,1,2,3,4,5,6,7
32,31.0,31,31,Shanghai,Charleston SC,32,MSC ‐ Santana Service,"Asia: Taiwan, China, Hong Kong"
33,32.0,32,32,Shanghai,Charleston SC,34,THE Alliance ‐ North America East Coast‐EC1,"Asia: Taiwan, China, Hong Kong"
34,33.0,33,33,Shanghai,Charleston SC,35,OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtw,"Asia: Taiwan, China, Hong Kong"
35,34.0,34,34,Shanghai,Charleston SC,35,Sea Lead/TS Lines ‐ Asia East Coast‐AEC,"Asia: Taiwan, China, Hong Kong"
36,35.0,35,35,Shanghai,Charleston SC,38,OCEAN Alliance ‐‐ ANL ‐ NUE,"Asia: Taiwan, China, Hong Kong"
37,36.0,36,36,Shanghai,Charleston SC,49,CMA CGM/APL ‐‐ COSCO/Evergreen Line ‐ Chesapeake Bay Express‐CBX,"Asia: Taiwan, China, Hong Kong"
38,37.0,37,37,Shanghai,Charleston SC,49,THE Alliance ‐ North America East Coast 2‐EC2,"Asia: Taiwan, China, Hong Kong"
39,38.0,38,38,Shekou Shenzhen (Chiwan),Charleston SC,31,Wan Hai ‐ Asia America Service IX‐AA9 rtw,"Asia: Taiwan, China, Hong Kong"
40,39.0,39,39,Sines,Charleston SC,18,2M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5,North Europe
41,40.0,40,40,Singapore,Charleston SC,36,THE Alliance ‐ North America East Coast‐EC4,Asia: Southeast Asia
42,41.0,41,41,Singapore,Charleston SC,53,OCEAN Alliance ‐‐ ANL ‐ Columbus JAX‐CJX,Asia: Southeast Asia
43,42.0,42,42,Southampton UK,Charleston SC,30,OCEAN Alliance ‐ Liberty Bridge‐LIBERTY,North Europe
44,43.0,43,43,Sydney,Charleston SC,45,Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1,Oceania
45,44.0,44,44,Tanjung Pelepas,Charleston SC,31,ZIM ‐‐ 2M Alliance ‐ ZSE rtw,Asia: Southeast Asia
46,45.0,45,45,Tauranga,Charleston SC,32,Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1,Oceania
47,46.0,46,46,Vado Ligure,Charleston SC,17,COSCO/ONE ‐‐ OOCL ‐ EMA,Mediterranean
48,47.0,47,47,Valencia,Charleston SC,22,2M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5,Mediterranean
49,48.0,48,48,Veracruz MEX,Charleston SC,15,2M Alliance ‐‐ Hamburg Sud/SeaLand ‐ TA3/NEUATL3,Mexico
50,49.0,49,49,Xiamen,Charleston SC,37,OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtw,"Asia: Taiwan, China, Hong Kong"
51,50.0,50,50,Yantian Shenzhen,Charleston SC,25,ZIM ‐‐ 2M Alliance ‐ ZSE rtw,"Asia: Taiwan, China, Hong Kong"
52,51.0,51,51,Yantian Shenzhen,Charleston SC,35,Maersk/SeaLand ‐ Asia‐USEC‐TP20 rtw,"Asia: Taiwan, China, Hong Kong"
53,52.0,52,52,Yantian Shenzhen,Charleston SC,38,THE Alliance ‐ North America East Coast‐EC1,"Asia: Taiwan, China, Hong Kong"
54,53.0,53,53,Yantian Shenzhen,Charleston SC,39,OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtw,"Asia: Taiwan, China, Hong Kong"
55,54.0,54,54,Yantian Shenzhen,Charleston SC,42,THE Alliance ‐ North America East Coast‐EC4,"Asia: Taiwan, China, Hong Kong"
56,55.0,55,55,Yantian Shenzhen,Charleston SC,58,CMA CGM/APL ‐‐ COSCO/Evergreen Line ‐ Chesapeake Bay Express‐CBX,"Asia: Taiwan, China, Hong Kong"
57,56.0,56,56,Yantian Shenzhen,Charleston SC,59,OCEAN Alliance ‐‐ ANL ‐ Columbus JAX‐CJX,"Asia: Taiwan, China, Hong Kong"
0,,OriginDestinationTransitServiceDestination Trade Region,,,,,,
1,0.0,Charleston SCAbu Dhabi39MSC ‐ Indus ExpressMideast,,,,,,
2,1.0,Charleston SCAlexandria Egypt21COSCO/ONE ‐‐ OOCL ‐ EMAMediterranean,,,,,,
3,2.0,Charleston SCAliaga19COSCO/ONE ‐‐ OOCL ‐ EMAMediterranean,,,,,,
4,3.0,Charleston SCAltamira MEX5OCEAN Alliance ‐ Victory Bridge‐VICTORYMexico,,,,,,
5,4.0,Charleston SCAntwerp72M Alliance ‐‐ Hamburg Sud/SeaLand ‐ TA3/NEUATL3North Europe,,,,,,
6,5.0,Charleston SCAntwerp10OCEAN Alliance ‐ Liberty Bridge‐LIBERTYNorth Europe,,,,,,
7,6.0,Charleston SCAntwerp12THE Alliance ‐ Transatlantic Loop 3‐AL3North Europe,,,,,,
8,7.0,Charleston SCAntwerp212M Alliance ‐‐ Alianca/Hamburg Sud ‐ NEUATL2/TA2North Europe,,,,,,
9,8.0,Charleston SCAntwerp222M Alliance ‐ TA1/NEUATL1North Europe,,,,,,
10,9.0,Charleston SCBalboa7Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1Central America,,,,,,
11,10.0,Charleston SCBremerhaven112M Alliance ‐‐ Hamburg Sud/SeaLand ‐ TA3/NEUATL3North Europe,,,,,,
12,11.0,Charleston SCBremerhaven13OCEAN Alliance ‐ Liberty Bridge‐LIBERTYNorth Europe,,,,,,
13,12.0,Charleston SCBremerhaven192M Alliance ‐‐ Alianca/Hamburg Sud ‐ NEUATL2/TA2North Europe,,,,,,
14,13.0,Charleston SCBremerhaven272M Alliance ‐ TA1/NEUATL1North Europe,,,,,,
15,14.0,Charleston SCBuenos Aires22Hamburg Sud/Hapag‐Lloyd ‐‐ Alianca/Maersk Line/SeaLand ‐ TANGO/SECEast Coast of South America,,,,,,
16,15.0,"Charleston SCBusan22CMA CGM/APL ‐‐ COSCO/Evergreen Line ‐ Chesapeake Bay Express‐CBXAsia: Russian Far East, Japan, Korea",,,,,,
17,16.0,"Charleston SCBusan25THE Alliance ‐ North America East Coast 2‐EC2Asia: Russian Far East, Japan, Korea",,,,,,
18,17.0,"Charleston SCBusan41ZIM ‐‐ Alianca/Hamburg Sud/Maersk Line/MSC/SeaLand ‐ ZCPAsia: Russian Far East, Japan, Korea",,,,,,
19,18.0,"Charleston SCBusan45THE Alliance ‐ North America East Coast‐EC1Asia: Russian Far East, Japan, Korea",,,,,,
20,19.0,Charleston SCCai Mep (near Ho Chi Minh)31OCEAN Alliance ‐‐ ANL ‐ Columbus JAX‐CJXAsia: Southeast Asia,,,,,,
21,20.0,Charleston SCCai Mep (near Ho Chi Minh)36OCEAN Alliance ‐‐ ANL ‐ South Atlantic Express‐ECX1/AWE4 rtwAsia: Southeast Asia,,,,,,
22,21.0,Charleston SCCai Mep (near Ho Chi Minh)46ZIM ‐‐ 2M Alliance ‐ ZSE rtwAsia: Southeast Asia,,,,,,
23,22.0,Charleston SCCai Mep (near Ho Chi Minh)50THE Alliance ‐ North America East Coast‐EC4Asia: Southeast Asia,,,,,,
24,23.0,Charleston SCCape Town33MSC/Maersk Line ‐ America Express‐AMEXAfrica (excluding Med),,,,,,
