, Year, TYPE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
133,2003.0,EXPORT EMPTY,"22,283","19,478","27,365","25,260","26,327","36,913","26,716","30,309 28,538","25,929","28,493","15,477","313,086"
134,2003.0,LOADED,"47,984","50,099","61,792","50,457","49,279","49,999","42,581","49,657 42,726","49,622","47,500","45,235","586,930"
135,2003.0,TOTAL,"70,267","69,576","89,157","75,717","75,606","86,912","69,297","79,966 71,264","75,551","75,992","60,712","900,016"
136,2003.0,IMPORT EMPTY,"4,562","3,671","5,734","3,664","2,386","4,531","3,573","3,124 1,815","4,722","6,000","3,434","47,215"
137,2003.0,LOADED,"57,181","58,144","61,758","62,275","61,109","62,376","65,937","67,680 59,802","67,918","60,746","58,692","743,616"
138,2003.0,TOTAL,"61,743","61,815","67,491","65,939","63,494","66,907","69,509","70,804 61,617","72,640","66,746","62,126","790,831"
139,2003.0,SUBTOTAL,"132,010","131,391","156,648","141,656","139,100","153,819","138,807","150,770 132,881","148,191","142,738","122,838","1,690,846"
140,2002.0,EXPORT EMPTY,"12,080","18,380","17,584","17,166","19,582","26,876","26,527","31,204 27,668","27,325","24,241","28,167","276,799"
141,2002.0,LOADED,"41,635","46,871","60,112","48,918","51,903","51,236","39,609","51,370 43,029","46,659","48,520","49,525","579,385"
142,2002.0,TOTAL,"53,715","65,250","77,697","66,084","71,485","78,112","66,136","82,574 70,697","73,983","72,761","77,691","856,184"
143,2002.0,IMPORT EMPTY,"3,701","6,172","7,540","5,942","6,646","3,654","1,870","3,488 3,396","3,721","5,809","4,385","56,322"
144,2002.0,LOADED,"44,309","48,187","55,409","53,407","59,426","59,002","60,968","63,076 56,972","59,045","59,311","61,217","680,329"
145,2002.0,TOTAL,"48,009","54,360","62,949","59,349","66,072","62,656","62,837","66,564 60,368","62,766","65,120","65,602","736,651"
146,2002.0,SUBTOTAL,"101,724","119,610","140,645","125,433","137,556","140,768","128,973","149,138 131,065","136,749","137,881","143,294","1,592,834"
