,2,Period | South Carolina Ports,Intermodal Drays South Carolina Ports,Total Pier Container History South Carolina Ports,Total  TEU History  South Carolin PORTS
113,112,"May, 2016","17,639","1 00,774","1 77,865"
114,113,"June, 2016","16,298","8 8,773","1 57,207"
115,114,"July, 2016","17,670","1 00,366","1 77,265"
116,115,"August, 2016","21,833","1 01,125","1 80,153"
117,116,"September, 2016","18,512","9 1,784","1 62,858"
118,117,"October, 2016","17,203","9 5,608","1 69,477"
119,118,"November, 2016","19,447","9 9,041","1 75,217"
120,119,"December, 2016","17,937","9 2,956","1 64,480"
121,120,"January, 2017","18,418","1 04,792","1 85,018"
122,121,"February, 2017","19,766","9 8,259","1 75,820"
123,122,"March, 2017","19,966","1 08,961","1 92,411"
124,123,"April, 2017","16,979","1 07,340","1 89,315"
125,124,"May, 2017","25,002","1 03,462","1 82,452"
3,2,"June, 2017","22,439","1 04,010","1 83,237"
4,3,"July, 2017","18,526","1 03,319","1 82,411"
5,4,"August, 2017","25,152","1 00,427","1 77,728"
6,5,"September, 2017","21,977","1 01,902","1 79,856"
7,6,"October, 2017","23,114","1 04,086","1 82,827"
8,7,"November, 2017","18,602","9 2,329","1 63,592"
9,8,"December, 2017","18,029","1 03,756","1 82,884"
10,9,"January, 2018","20,018","9 4,852","1 67,398"
11,10,"February, 2018","21,878","9 5,280","1 68,480"
12,11,"March, 2018","26,037","1 13,663","1 99,659"
13,12,"April, 2018","21,477","1 11,987","1 96,439"
14,13,"May, 2018","23,965","1 13,531","1 97,437"
15,14,"June, 2018","23,947","1 15,696","2 01,163"
16,15,"July, 2018","26,297","1 14,297","2 00,594"
17,16,"August, 2018","27,978","1 17,037","2 06,541"
18,17,"September, 2018","21,674","9 8,462","1 73,226"
19,18,"October, 2018","28,385","1 24,627","2 17,035"
20,19,"November, 2018","25,360","1 07,762","1 88,583"
21,20,"December, 2018","24,603","1 14,018","1 99,701"
22,21,"January, 2019","28,294","1 19,042","2 05,689"
23,22,"February, 2019","27,355","1 00,794","1 78,131"
24,23,"March, 2019","28,213","1 20,717","2 14,113"
25,24,"April, 2019","29,478","1 16,443","2 04,621"
26,25,"May, 2019","31,727","1 18,048","2 04,457"
27,26,"June, 2019","31,074","1 12,988","2 00,406"
28,27,"July, 2019","30,471","1 19,700","2 10,542"
29,28,"August, 2019","31,353","1 32,233","2 33,110"
